relative_time,MagneticRotationSensor
0,1294.7749662899491
58,1294.6584136230288
124,1294.7698544538966
191,1294.5400617750706
258,1294.697085300466
323,1294.5729268152909
391,1294.5105480113127
458,1294.5216175273122
523,1294.7085048118254
591,1294.6386296121045
657,1294.6086828291966
723,1294.7287339681964
791,1294.7854319885869
858,1294.8140124641166
923,1294.4181193694974
991,1294.5166723271277
1058,1294.6634530679912
1123,1294.658536084745
1191,1294.6942608640586
1258,1294.5910935202385
1324,1294.864117151207
1391,1294.6165209668188
1458,1294.5262331774036
1524,1294.6552726198438
1591,1294.916258918612
1658,1294.4902490094594
1724,1294.8216142582278
1791,1294.8751222012297
1858,1294.6724885535075
1924,1294.9014507333031
1991,1295.1550996987335
2058,1294.8143595565425
2123,1294.7781478235643
2191,1294.6497276197344
2258,1294.676739612221
2323,1294.5902996148761
2391,1294.4948351022394
2457,1294.794422335535
2523,1294.640654189513
2591,1294.7834839574698
2658,1294.777129447556
2723,1294.7340819903757
2791,1294.761986467193
2858,1294.694456923565
2923,1294.767928822462
2991,1294.7051595522573
3058,1294.977900945018
3123,1294.7690025980435
3191,1294.709229823243
3258,1295.0731190233544
3324,1294.578502650389
3391,1294.803598899235
3457,1294.807635448042
3524,1294.8666666364682
3591,1294.687786670192
3658,1294.812413435683
3724,1294.7781234034915
3791,1294.5685890610443
3858,1294.7322472057076
3924,1294.618775829038
3991,1294.8715938748835
4058,1294.6865535286965
4124,1294.7331498478877
4191,1294.7043616961134
4258,1294.74267773644
4323,1294.5140810445193
4391,1294.891241314723
4458,1294.7688841722268
4524,1294.778987175166
4591,1294.6570924113876
4658,1294.5846540918562
4723,1294.2214347812155
4791,1294.5334196135898
4858,1294.7585186752453
4923,1294.5392763093614
4991,1294.544568711252
5058,1294.5823957866078
5124,1294.73164880592
5191,1294.4628040090197
5257,1294.8105377860102
5323,1294.7633719481532
5391,1294.619167172492
5458,1294.6247631085582
5523,1294.8152615462843
