relative_time,MagneticRotationSensor
0,1178.1471968541264
50,1177.908463275074
117,1177.9362002436274
183,1178.2497823815659
250,1177.8995697912367
316,1178.1360911731501
383,1178.2023455774263
450,1177.7614568503877
517,1177.9931431653476
583,1178.1879490963024
650,1177.85100718511
717,1178.0120634727743
783,1177.8171769852402
850,1177.7496713667324
917,1178.0684138855534
983,1177.7776977734047
1050,1177.7782446159101
1117,1177.736616901006
1183,1177.9135730624955
1249,1177.7641325672207
1317,1178.1576819064835
1383,1177.494069076114
1450,1177.7185385670869
1517,1177.9587917158824
1583,1178.0363438474676
1650,1178.1517777084882
1717,1177.469009208185
1783,1177.9004273730006
1850,1178.1670784111961
1917,1178.1112525925373
1983,1177.843045052138
2050,1177.7300567002342
2117,1177.9118165023517
2183,1177.984612230073
2250,1178.055554667428
2317,1178.0306429371597
2383,1178.106180408621
2450,1177.9717765670393
2517,1178.045080438599
2583,1178.362139826379
2650,1177.8557814145715
2717,1177.8963182781506
2783,1177.9704245064636
2850,1178.2189834731898
2917,1177.7239671123248
2983,1178.041407438392
3050,1177.7709634023524
3117,1177.793897547223
3183,1177.983723679039
3250,1177.8279234327063
3317,1177.7244773140985
3383,1177.9433552395808
3450,1177.8425441335457
3517,1177.9759293431955
3583,1177.7411128285237
3650,1177.5423808288938
3717,1177.8802573494997
3783,1177.687785759114
3850,1177.860646343759
3917,1177.884296390839
3983,1178.144610564174
4050,1177.908699494254
4117,1178.2465140066643
4183,1177.8332255840007
4250,1177.9443591614024
4317,1177.9555913771705
4383,1177.9297266364854
4450,1177.5602171475118
4517,1177.990174365298
4583,1177.7745941420012
4650,1177.8029393070578
4717,1177.8143979319882
4783,1177.966622071765
4850,1177.8910404340388
4917,1177.9070216632067
4983,1177.9847953831097
5050,1177.8012799066105
5117,1178.0011291492378
5183,1178.2174963614991
5252,1177.9789779941118
5317,1177.9384607452337
